xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
0.010,-0.049,0.994,-0.061,2.258,-1.892,-9.644,30.042,-30.420,19.936,43.659
0.010,-0.050,0.994,-0.244,2.136,-1.831,-9.583,29.993,-29.004,19.900,43.599
0.010,-0.049,0.995,0.061,2.380,-1.770,-9.558,30.261,-31.750,19.900,43.733
0.009,-0.049,0.995,-0.183,2.441,-1.892,-9.473,29.956,-29.504,19.918,43.688
0.010,-0.049,0.993,-0.122,2.319,-1.770,-9.521,28.943,-30.676,19.954,43.720
0.010,-0.048,0.994,-0.244,2.319,-1.892,-10.010,29.895,-30.530,19.900,43.666
0.010,-0.050,0.993,-0.122,2.075,-1.831,-9.534,30.518,-29.761,19.954,43.643
0.010,-0.050,0.993,-0.122,2.502,-1.831,-9.607,29.871,-28.906,19.918,43.701
0.010,-0.049,0.993,-0.061,2.319,-1.770,-9.741,29.822,-29.895,19.900,43.720
0.010,-0.049,0.993,-0.061,2.258,-1.770,-9.546,29.150,-29.456,19.900,43.647
0.009,-0.049,0.993,0.061,2.441,-1.709,-9.351,29.163,-29.468,19.918,43.742
0.009,-0.049,0.994,0.000,2.197,-1.892,-9.558,29.285,-30.273,19.936,43.679
0.009,-0.050,0.994,0.305,2.319,-1.831,-9.460,29.785,-29.993,19.900,43.643
0.010,-0.049,0.993,-0.244,2.258,-1.892,-9.314,29.456,-30.103,19.918,43.688
0.010,-0.049,0.994,0.000,2.380,-1.709,-9.827,29.700,-29.919,19.936,43.691
0.010,-0.048,0.993,-0.183,2.258,-1.892,-9.863,29.480,-29.785,19.936,43.752
0.009,-0.054,0.993,-0.122,2.319,-1.831,-9.302,29.468,-30.139,19.900,43.711
0.008,-0.049,0.994,0.000,2.380,-1.770,-9.436,29.431,-30.212,19.918,43.675
0.010,-0.050,0.994,-0.366,2.258,-1.831,-9.497,29.810,-30.090,19.918,43.672
0.010,-0.050,0.994,-0.183,2.136,-1.953,-9.485,30.042,-29.883,19.900,43.666
0.009,-0.050,0.993,0.000,2.380,-2.014,-9.680,30.054,-30.164,19.918,43.733
0.010,-0.048,0.995,-0.061,2.258,-1.953,-9.656,29.749,-30.249,19.918,43.650
0.010,-0.049,0.994,-0.183,2.136,-1.892,-9.460,29.443,-28.894,19.918,43.650
0.009,-0.050,0.994,0.000,2.380,-1.831,-9.595,29.614,-30.579,19.936,43.707
0.009,-0.049,0.994,-0.122,2.258,-1.831,-12.463,30.261,-29.492,19.936,43.746
0.011,-0.050,0.995,-0.427,2.197,-1.892,-10.315,30.115,-28.870,19.900,43.669
0.011,-0.047,0.988,-0.244,2.075,-1.892,-9.863,30.225,-29.468,19.918,43.723
0.010,-0.050,1.001,-0.183,2.380,-1.770,-9.558,30.005,-30.420,19.954,43.682
0.010,-0.047,0.993,-0.122,2.258,-1.892,-10.034,29.138,-30.139,19.918,43.720
0.011,-0.049,0.993,0.000,2.380,-1.831,-9.717,30.005,-31.079,19.936,43.666
0.010,-0.049,0.993,-0.183,2.075,-2.014,-9.497,29.980,-29.346,19.918,43.647
0.009,-0.048,0.995,-0.244,2.258,-1.892,-9.851,29.846,-29.956,19.918,43.730
0.010,-0.050,0.994,-0.122,2.197,-1.770,-10.254,29.663,-30.200,19.918,43.637
0.010,-0.052,0.992,0.000,2.136,-2.014,-9.888,30.103,-30.225,19.936,43.688
